contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var
contig_2226	37350	84.9849	11.8919	66.432	12.8003	59.7998	11.4415	30.7349	11.9576	67.169	36.8936	429.021
contig_2227	38015	241.41	41.4015	1543.14	33.372	828.53	30.7449	629.27	41.1485	1522.92	94.7435	6477.56
contig_2228	7037	502.856	85.7182	1456.73	73.2788	896.387	51.626	65.5623	85.6631	1441.86	206.57	5047.12
contig_2229	1570	164.238	17.1979	158.49	11.0077	63.9853	1.08028	0.0781184	16.1261	104.992	118.826	4423.27
contig_2231	11281	2659.44	511.186	29610.3	402.745	22034.4	168.48	1024.94	514.334	29313.1	1062.69	202126
contig_2234	341598	61.3585	8.2367	35.2595	9.32969	49.4338	11.5644	116.219	8.22718	34.9754	24.0005	216.209
contig_2237	609392	56.5843	8.6553	12.7941	8.63278	11.0943	8.72008	11.9212	8.66081	13.4037	21.9153	43.9038
contig_2238	447234	1203.74	153.929	557.401	177.903	754.199	243.627	1686.17	153.936	555.827	474.344	5253.71
contig_2239	2608	44.0801	10.9211	13.6599	6.82872	2.75498	0	0	11.0602	13.0058	15.2701	19.6291
contig_224	38038	139.518	15.5054	292.565	17.8498	331.024	45.8768	2296.42	15.4769	293.338	44.8094	2614.68
contig_2240	610	50.9326	4.58043	1.85625	2.79783	0.623525	14.7826	2.32302	4.58043	1.85625	24.1913	41.5537
contig_2243	6123	401.961	65.5423	764.737	70.6898	871.68	20.6211	329.198	65.6389	748.954	179.469	5076.57
contig_2244	24459	752.297	98.0961	3141.69	114.413	5357.04	121.323	5032.44	98.0836	3139.2	320.381	28722.7
contig_2245	1967	166.06	25.2917	3.36419	26.1084	4.81147	6.36929	0.51827	25.2917	3.36419	82.9989	25.6642
contig_2248	3213	669.552	98.0023	14.8083	116.677	34.932	68.0535	27.0245	98.0023	14.8083	288.817	258.131
contig_2249	4405	588.359	68.7918	27.2855	88.3918	30.5662	126.767	3.13341	68.7918	27.2855	235.617	131.782
contig_225	8992	1035.43	125.609	107.235	134.647	119.567	292.041	188.989	125.609	107.235	357.522	332.982
contig_2251	29402	47.1989	5.4653	14.137	5.90848	16.2332	12.5319	74.2508	5.56906	13.7235	17.7242	76.0095
contig_2256	2298	140.819	13.8962	42.2701	23.5754	127.194	36.2933	586.239	13.9213	41.9683	53.1331	756.693
contig_2258	42487	53.7736	4.96582	6.62429	6.53462	13.4246	17.3026	30.5468	5.02218	7.09069	19.9484	34.4838
contig_2259	76434	291.622	26.7359	123.786	39.1587	171.148	95.7801	1081.93	26.7479	126.515	103.199	1388.52
contig_226	23469	166.884	19.7161	279.308	28.1789	335.474	39.9377	382.573	20.0422	281.136	59.0096	1511.59
contig_2260	5587	57.4607	5.95016	52.0008	8.48869	108.864	17.4738	90.9184	5.34045	40.9074	20.2077	415.975
contig_2264	135003	242.812	24.287	148.424	33.6027	248.342	76.2536	966.345	24.3041	148.198	84.3649	1362.73
contig_2265	3371	79.557	9.18752	2.20394	10.4564	2.09973	18.5536	75.3053	10.3213	5.31763	31.0382	101.083
contig_2267	118533	273.161	24.458	72.3905	38.8414	206.323	89.1561	747.311	24.5118	73.1034	96.1935	838.224
contig_2269	71981	77.0472	7.65905	80.8712	11.3087	147.881	24.3096	538.101	7.61801	78.628	26.1519	1088.55
contig_227	27632	654.029	78.6493	351.985	77.1275	366.865	191.839	586.494	78.2074	329.771	228.206	2674.44
contig_2270	8331	59.7125	4.07334	5.2068	11.5623	19.7949	14.2848	21.2475	4.07334	5.2068	25.7187	109.267
contig_2273	30849	96.7643	9.58807	29.3175	16.438	24.3996	26.6138	110.911	9.56461	24.8713	34.5598	171.652
