contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var	5.bam	5.bam-var	6.bam	6.bam-var
contig_2301	6010	50.5186	3.13737	0.524425	1.56007	3.83704	30.2794	3612.14	0.680546	1.76633	0.794881	2.09377	1.78362	0.700061	12.2828	248.444
contig_2302	15658	222.76	4.56016	2.02201	5.21724	4.43122	161.845	2594.55	1.20331	1.34204	1.17946	3.09589	1.74916	1.03583	47.0056	287.824
contig_2303	7591	3.59454	3.59454	5.19274	0	0	0	0	0	0	0	0	0	0	0	0
contig_2304	1.89686e+06	51.9088	51.9074	82.9136	0.000112299	0.000112285	6.37945e-05	6.37891e-05	0	0	0	0	0.00120472	0.00329508	0	0
contig_2305	10418	8.67774	8.67774	16.6372	0	0	0	0	0	0	0	0	0	0	0	0
contig_2306	18112	3.65588	3.65588	4.39332	0	0	0	0	0	0	0	0	0	0	0	0
contig_2307	31013	8.43687	3.09633	0.718644	0	0	0	0	0	0	0	0	5.34054	11.4921	0	0
contig_2308	22613	2.64239	2.64239	0.340591	0	0	0	0	0	0	0	0	0	0	0	0
contig_2309	61621	48.039	5.37201	10.0131	26.8786	375.212	4.31532	167.462	0.157977	0.188317	9.83382	55.403	0.134795	0.151015	1.34641	30.2558
contig_231	598	19.8058	19.8058	3.61992	0	0	0	0	0	0	0	0	0	0	0	0
contig_2311	12573	25.2023	2.7627	1.21932	16.2829	136.13	0	0	0	0	6.15664	15.2422	0	0	0	0
contig_2312	28850	5.97948	5.92627	5.19536	0	0	0.0119512	0.0118182	0.00738676	0.00733293	0	0	0	0	0.0338676	0.0327248
contig_2313	12790	2.73734	2.73734	0.775482	0	0	0	0	0	0	0	0	0	0	0	0
contig_2314	60973	18.5352	3.76016	7.2774	0	0	5.52189	49.0497	0	0	8.93374	56.4992	0.319435	0.291444	0	0
contig_2315	15120	8.33033	3.24803	2.47109	0.309619	0.837441	3.95311	75.827	0.176152	0.177862	0.237408	0.311537	0.0929192	0.0842977	0.313093	0.732171
contig_2316	8100	5.28855	2.96	1.08603	1.36277	0.397738	0.661132	1.01858	0	0	0.304654	0.274491	0	0	0	0
contig_2318	268411	184.439	29.0806	181.25	4.67352	27.5472	92.616	7840.57	0.060922	0.0686681	33.6015	568.027	24.3852	389.028	0.0211026	0.0206573
contig_2322	11790	20.9052	13.3689	1.80773	0	0	7.25704	117.645	0	0	0	0	0.27921	0.201254	0	0
contig_2323	10270	26.569	4.90623	0.994363	0.613735	0.99734	19.4446	389.145	0	0	1.46502	1.50135	0.139427	0.14273	0	0
